Συσκευή,Κλικ,Εμφανίσεις,CTR,Θέση
Κινητές συσκευές,14125,394530,3.58%,7.85
Επιφάνειας εργασίας,1604,131674,1.22%,10.26
Tablet,169,3853,4.39%,7.96
