id	name	region	category	query
1939	Agia Anna	Mykonos	Category:Agia Anna (Mykonos)	"Agia Anna" "Mykonos" beach
1305	Partheni	Ikaria	Category:Partheni Beach (Ikaria)	"Partheni" "Ikaria" beach
