score	id	name	region	slug	idx	dist	license	source	title	page
83	1609	Vourlia	Messinia	peloponnese-messinia-mainland	0	99999	CC BY 3.0	commons-name	Xerokambos Vourlia 02.jpg	https://commons.wikimedia.org/wiki/File%3AXerokambos%20Vourlia%2002.jpg
83	1609	Vourlia	Messinia	peloponnese-messinia-mainland	1	99999	CC BY 3.0	commons-name	Xerokambos Vourlia 01.jpg	https://commons.wikimedia.org/wiki/File%3AXerokambos%20Vourlia%2001.jpg
83	180	Votsalakia	Methana	attica-methana	6	99999	CC BY-SA 4.0	commons-name	Votsalakia swimming pool 1.jpg	https://commons.wikimedia.org/wiki/File%3AVotsalakia%20swimming%20pool%201.jpg
83	180	Votsalakia	Methana	attica-methana	7	99999	CC BY-SA 4.0	commons-name	Votsalakia swimming pool 2.jpg	https://commons.wikimedia.org/wiki/File%3AVotsalakia%20swimming%20pool%202.jpg
83	2390	Aspri	Patmos	south-aegean-patmos	4	99999	CC BY-SA 4.0	commons-name	Phoenix theophrasti (palm trees) in Aspri Limni.jpg	https://commons.wikimedia.org/wiki/File%3APhoenix%20theophrasti%20(palm%20trees)%20in%20Aspri%20Limni.jpg
83	1018	Mongonisi	Paxos	ionian-islands-paxos	1	99999	by-sa 4.0	openverse:wikimedia	Mongonisi bridge close-up	https://commons.wikimedia.org/w/index.php?curid=148691818
83	1018	Mongonisi	Paxos	ionian-islands-paxos	2	99999	by-sa 4.0	openverse:wikimedia	Mongonisi bridge	https://commons.wikimedia.org/w/index.php?curid=148691817
83	1018	Mongonisi	Paxos	ionian-islands-paxos	3	99999	by-sa 4.0	openverse:wikimedia	Olive grove on Mongonisi	https://commons.wikimedia.org/w/index.php?curid=148692109
83	1018	Mongonisi	Paxos	ionian-islands-paxos	6	261	CC BY-SA 4.0	commons-geo(261m)	Mongonisi bridge close-up.jpg	https://commons.wikimedia.org/wiki/File%3AMongonisi%20bridge%20close-up.jpg
83	1018	Mongonisi	Paxos	ionian-islands-paxos	7	284	CC BY-SA 4.0	commons-geo(284m)	Mongonisi bridge.jpg	https://commons.wikimedia.org/wiki/File%3AMongonisi%20bridge.jpg
83	1038	Ozias	Paxos	ionian-islands-paxos	6	478	CC BY-SA 4.0	commons-geo(478m)	Canyon of Ormos Ozias southwards.jpg	https://commons.wikimedia.org/wiki/File%3ACanyon%20of%20Ormos%20Ozias%20southwards.jpg
83	1038	Ozias	Paxos	ionian-islands-paxos	7	478	CC BY-SA 4.0	commons-geo(478m)	Canyon of Ormos Ozias northwards.jpg	https://commons.wikimedia.org/wiki/File%3ACanyon%20of%20Ormos%20Ozias%20northwards.jpg
83	884	Limnionas	Preveza	epirus-preveza-mainland	3	99999	CC BY-SA 4.0	commons-name	Limnionas Banner.JPG	https://commons.wikimedia.org/wiki/File%3ALimnionas%20Banner.JPG
83	884	Limnionas	Preveza	epirus-preveza-mainland	4	99999	CC BY-SA 4.0	commons-name	XEN LIMNIONAS.jpg	https://commons.wikimedia.org/wiki/File%3AXEN%20LIMNIONAS.jpg
83	877	Skala	Preveza	epirus-preveza-mainland	0	99999	CC BY-SA 4.0	commons-name	20151030 Syrians and Iraq refugees arrive at Skala Sykamias Lesvos Greece 2.jpg	https://commons.wikimedia.org/wiki/File%3A20151030%20Syrians%20and%20Iraq%20refugees%20arrive%20at%20Skala%20Sykamias%20Lesvos%20Greece%202.jpg
83	2212	Livadi	Schinoussa	south-aegean-schinoussa	0	99999	by 3.0	openverse:wikimedia	Livaditurtles 2	https://commons.wikimedia.org/w/index.php?curid=3107725
83	2212	Livadi	Schinoussa	south-aegean-schinoussa	1	99999	by 3.0	openverse:wikimedia	Livaditurtles 3	https://commons.wikimedia.org/w/index.php?curid=3107730
83	2212	Livadi	Schinoussa	south-aegean-schinoussa	4	99999	by-sa 3.0	openverse:wikimedia	Kalo Livadi Mykonos	https://commons.wikimedia.org/w/index.php?curid=27604520
83	2212	Livadi	Schinoussa	south-aegean-schinoussa	6	99999	CC BY 3.0	commons-name	Ferma Livadi 09.jpg	https://commons.wikimedia.org/wiki/File%3AFerma%20Livadi%2009.jpg
83	2212	Livadi	Schinoussa	south-aegean-schinoussa	7	99999	CC BY 3.0	commons-name	Ferma Livadi 08.jpg	https://commons.wikimedia.org/wiki/File%3AFerma%20Livadi%2008.jpg
83	315	Glyfada	Skyros	central-greece-skyros	1	99999	CC0	commons-name	Glyfada Attiki.jpg	https://commons.wikimedia.org/wiki/File%3AGlyfada%20Attiki.jpg
83	317	Kalamitsa	Skyros	central-greece-skyros	2	99999	CC0	commons-name	Kalamitsabeach.jpg	https://commons.wikimedia.org/wiki/File%3AKalamitsabeach.jpg
83	172	Kamares	Spetses	attica-spetses	0	99999	CC BY-SA 4.0	commons-name	Kamares ware, inclusive from Kamares cave, 1900-1700 BC, AMH, 144896.jpg	https://commons.wikimedia.org/wiki/File%3AKamares%20ware%2C%20inclusive%20from%20Kamares%20cave%2C%201900-1700%20BC%2C%20AMH%2C%20144896.jpg
83	172	Kamares	Spetses	attica-spetses	1	99999	CC BY-SA 4.0	commons-name	Kamares, Sifnos.jpg	https://commons.wikimedia.org/wiki/File%3AKamares%2C%20Sifnos.jpg
83	172	Kamares	Spetses	attica-spetses	2	99999	CC BY-SA 4.0	commons-name	MM IB-IIA early Kamares style bridge-spouted jar from Kamares - Herakleion AM.jpg	https://commons.wikimedia.org/wiki/File%3AMM%20IB-IIA%20early%20Kamares%20style%20bridge-spouted%20jar%20from%20Kamares%20-%20Herakleion%20AM.jpg
83	172	Kamares	Spetses	attica-spetses	3	99999	CC BY-SA 4.0	commons-name	MM IB-IIA early Kamares style spouted jar from Kamares - Herakleion AM.jpg	https://commons.wikimedia.org/wiki/File%3AMM%20IB-IIA%20early%20Kamares%20style%20spouted%20jar%20from%20Kamares%20-%20Herakleion%20AM.jpg
83	172	Kamares	Spetses	attica-spetses	4	99999	CC BY-SA 4.0	commons-name	Cave of Kamares 076532.jpg	https://commons.wikimedia.org/wiki/File%3ACave%20of%20Kamares%20076532.jpg
83	172	Kamares	Spetses	attica-spetses	5	99999	CC BY-SA 3.0	commons-name	Cave of Kamares 076556.jpg	https://commons.wikimedia.org/wiki/File%3ACave%20of%20Kamares%20076556.jpg
83	899	Karavostasi	Thesprotia	epirus-thesprotia-mainland	0	312	CC BY-SA 3.0	commons-geo(312m)	Karavostasi hotel - panoramio.jpg	https://commons.wikimedia.org/wiki/File%3AKaravostasi%20hotel%20-%20panoramio.jpg
83	899	Karavostasi	Thesprotia	epirus-thesprotia-mainland	1	500	CC BY-SA 3.0	commons-geo(500m)	Karavostasi view - panoramio.jpg	https://commons.wikimedia.org/wiki/File%3AKaravostasi%20view%20-%20panoramio.jpg
83	2473	Stavros	Tilos	south-aegean-tilos	6	99999	by-sa 4.0	openverse:wikimedia	BStavros Tinos Greece 2018041015380N01910	https://commons.wikimedia.org/w/index.php?curid=68666429
83	2473	Stavros	Tilos	south-aegean-tilos	7	99999	Public domain	commons-name	Stavros, Thessaloniki, full.JPG	https://commons.wikimedia.org/wiki/File%3AStavros%2C%20Thessaloniki%2C%20full.JPG
75	2504	Vathi	Achaia	west-greece-achaia-mainland	0	99999	by 2.0	openverse:flickr	Samos - Vathi	https://www.flickr.com/photos/76544271@N00/1770233455
75	2504	Vathi	Achaia	west-greece-achaia-mainland	1	99999	by-sa 2.0	openverse:flickr	Agios Nikolaos, Lasithi Crete- Vathi area, Greece Apartment For Sale - Villas for sale	https://www.flickr.com/photos/59281281@N03/8425379770
75	2535	Marathias	Aetolia-Acarnania	west-greece-aetolia-acarnania-mainland	0	99999	by 2.0	openverse:flickr	Marathias, Keri | Zakynthos	https://www.flickr.com/photos/57780451@N05/48720900488
75	2535	Marathias	Aetolia-Acarnania	west-greece-aetolia-acarnania-mainland	1	99999	by 2.0	openverse:flickr	Marathias, Keri | Zakynthos	https://www.flickr.com/photos/57780451@N05/48721236776
75	2535	Marathias	Aetolia-Acarnania	west-greece-aetolia-acarnania-mainland	2	99999	by 2.0	openverse:flickr	Marathias, Keri | Zakynthos	https://www.flickr.com/photos/57780451@N05/48721237736
75	2535	Marathias	Aetolia-Acarnania	west-greece-aetolia-acarnania-mainland	3	99999	by 2.0	openverse:flickr	Marathias, Keri | Zakynthos	https://www.flickr.com/photos/57780451@N05/48721411502
75	2535	Marathias	Aetolia-Acarnania	west-greece-aetolia-acarnania-mainland	4	99999	by 2.0	openverse:flickr	Marathias, Keri | Zakynthos	https://www.flickr.com/photos/57780451@N05/48721417782
75	2535	Marathias	Aetolia-Acarnania	west-greece-aetolia-acarnania-mainland	5	99999	by 2.0	openverse:flickr	Marathias, Keri | Zakynthos	https://www.flickr.com/photos/57780451@N05/48720907933
