id	name	region	title
1803	Psathi	Ios	Archaeological Site of Psathi, Ios.svg
1921	Rivari	Milos	View from Nychia hill towards Early Cycladic site Rivari, Milos, 153222.jpg
1921	Rivari	Milos	View from Nychia hill towards Early Cycladic site Rivari, Milos, 153223.jpg
1934	Voudia	Milos	Varitine factory (baryte quarry) with harbour, Voudia Bay, Milos, 15M5958.jpg
1935	Kastanas	Milos	ETH-BIB-Friedlaender-Milos, Kimolos von Kastanas, 1923-Hs 0625a-0004-123.tif
1994	Grotta	Naxos	Naxos Νάξος 2020-08-20 02 Chora Grotta and Vintzi beaches.jpg
1994	Grotta	Naxos	Mycenaean wall Grotta Naxos, 190300.jpg
1994	Grotta	Naxos	Mycenaean wall Grotta Naxos 060768.jpg
1994	Grotta	Naxos	Entrance Roman era, Grotta Naxos 060769.jpg
1994	Grotta	Naxos	Grave 8th c BC, Grotta Naxos 091425.jpg
1994	Grotta	Naxos	Entrance Roman era, Grotta Naxos 091418.jpg
1994	Grotta	Naxos	Late Mycenaean remains, Grotta Naxos 060767.jpg
2150	Agios Dimitrios	Tinos	Narrow street with the Agios Dimitrios Church in the background, Panormos (Pyrgos), Tinos, Greece julesvernex2.jpg
2150	Agios Dimitrios	Tinos	Narrow street with the Agios Dimitrios Church in the background, Panormos (Pyrgos), Tinos, Greece julesvernex2-2.jpg
3073	Koutsomiti	Astypalaia	Isles Agia Kyriaki, Koutsomitis and Kounopi, from Kastro, Astypalaia, Asty30.jpg
3092	Steno	Astypalaia	Steno Astypalaia.jpg
2598	Milia	Alonissos	Chrisi Milia Beach, Alonnisos, Greece (51696654485).jpg
2598	Milia	Alonissos	Top-down aerial of Chrisi Milia Beach, Alonnisos, Greece (51696661665).jpg
2598	Milia	Alonissos	Aerial view of Chrisi Milia Beach, Alonnisos, Greece (51696653045).jpg
2677	Alykes (Volos)	Magnesia (Pelion)	Sun rising at Alykes Volos.jpg
2680	Vlachorema	Magnesia (Pelion)	Mullus surmuletus, Vlachorema, Pelion imported from iNaturalist photo 80498399.jpg
2680	Vlachorema	Magnesia (Pelion)	Mullus surmuletus, Vlachorema, Pelion imported from iNaturalist photo 80500070.jpg
2680	Vlachorema	Magnesia (Pelion)	Mullus surmuletus, Vlachorema, Pelion imported from iNaturalist photo 80500076.jpg
2696	Melani	Magnesia (Pelion)	Melani, Pelion.jpg
