beachId,region,beach,tier,showerCount,nearestM,osmUrls
752,"Crete","Μαζιδά Άμμος",high,1,62,"https://www.openstreetmap.org/node/4345939063"
3106,"North Aegean","Λιμνιώνας (Σάμος)",high,1,62,"https://www.openstreetmap.org/node/8011773136"
1129,"Ionian Islands","Σπαρτιάς",high,1,62,"https://www.openstreetmap.org/node/9879480659"
933,"Ionian Islands","Black Rocks Beach",high,1,62,"https://www.openstreetmap.org/node/9670662717"
1124,"Ionian Islands","Πετανι",high,1,63,"https://www.openstreetmap.org/node/6710828186"
639,"Crete","Μάδε",high,1,64,"https://www.openstreetmap.org/node/5763789311"
564,"Crete","Παραλία του Μάλεμε",high,1,64,"https://www.openstreetmap.org/node/8979762317"
851,"East Macedonia and Thrace","Σκάλα Καλλιράχης",high,1,64,"https://www.openstreetmap.org/node/13265875178"
673,"Crete","Άγιος Γεώργιος",high,1,65,"https://www.openstreetmap.org/node/9048743281"
1088,"Ionian Islands","Αντίσαμος",high,1,65,"https://www.openstreetmap.org/node/11223296639"
2335,"South Aegean","Τιγκάκι",high,7,66,"https://www.openstreetmap.org/node/12147689846 https://www.openstreetmap.org/node/12147674473 https://www.openstreetmap.org/node/12147655473 https://www.openstreetmap.org/node/12227861546 https://www.openstreetmap.org/node/12227872225 https://www.openstreetmap.org/node/12227865688 https://www.openstreetmap.org/node/12227837081"
635,"Crete","Αγία Πελαγία",high,4,67,"https://www.openstreetmap.org/node/11089223506 https://www.openstreetmap.org/node/11089242905 https://www.openstreetmap.org/node/11087047406 https://www.openstreetmap.org/node/11089243005"
1195,"Ionian Islands","Άγιος Νικόλαος Βασιλικού",high,4,67,"https://www.openstreetmap.org/node/925429147 https://www.openstreetmap.org/node/2338148076 https://www.openstreetmap.org/node/9921137757 https://www.openstreetmap.org/node/2351550937"
844,"East Macedonia and Thrace","Λιμανάκι",high,1,67,"https://www.openstreetmap.org/node/13584887495"
678,"Crete","Δαμνόνι",high,1,68,"https://www.openstreetmap.org/node/12133987511"
2443,"South Aegean","Παραλία Λίνδου (Μεγάλη Παραλία)",high,5,68,"https://www.openstreetmap.org/node/1375293109 https://www.openstreetmap.org/node/13706607915 https://www.openstreetmap.org/node/13706668646 https://www.openstreetmap.org/node/1830811773 https://www.openstreetmap.org/node/13706572687"
983,"Ionian Islands","Παραλία Αγίου Σπυρίδωνα",high,2,68,"https://www.openstreetmap.org/node/13233303301 https://www.openstreetmap.org/node/13233090801"
521,"Central Macedonia","Παραλία Νέας Μηχανιώνας",high,1,68,"https://www.openstreetmap.org/node/6795655462"
733,"Crete","Βούλισμα",high,4,70,"https://www.openstreetmap.org/node/13724736291 https://www.openstreetmap.org/node/13724938867 https://www.openstreetmap.org/node/13724716594 https://www.openstreetmap.org/node/13724951108"
689,"Crete","Παλίγκρεμνος",high,2,70,"https://www.openstreetmap.org/node/9969827514 https://www.openstreetmap.org/node/9969827513"
1126,"Ionian Islands","Πλατύς Γιαλός",high,1,71,"https://www.openstreetmap.org/node/9887664946"
3052,"West Greece","ΠΔΕ Πούντα Αιγιαλείας",high,1,71,"https://www.openstreetmap.org/node/12806384627"
400,"Central Macedonia","Παραλία Γερακινής",high,2,71,"https://www.openstreetmap.org/node/12821118077 https://www.openstreetmap.org/node/12821118076"
579,"Crete","Σταυρός",high,3,72,"https://www.openstreetmap.org/node/10068303566 https://www.openstreetmap.org/node/10068303567 https://www.openstreetmap.org/node/10996512563"
1489,"Peloponnese","Παραλία Μύλων",high,1,72,"https://www.openstreetmap.org/node/9738968798"
2513,"West Greece","Παραλία Πούντα",high,1,72,"https://www.openstreetmap.org/node/12101944305"
361,"Central Greece","Μικρή Σουβάλα",high,2,72,"https://www.openstreetmap.org/node/12290334401 https://www.openstreetmap.org/node/12290334301"
643,"Crete","Ανάληψη",high,3,75,"https://www.openstreetmap.org/node/5866298815 https://www.openstreetmap.org/node/13037926850 https://www.openstreetmap.org/node/13037967535"
885,"Epirus","Παραλία Λυγιάς",high,1,75,"https://www.openstreetmap.org/node/9282711625"
311,"Central Greece","Χιλιαδού",high,2,76,"https://www.openstreetmap.org/node/4585884536 https://www.openstreetmap.org/node/4254518267"
925,"Epirus","Παραλία Σαγιάδας",high,1,76,"https://www.openstreetmap.org/node/6476771695"
626,"Crete","Μάταλα",high,2,78,"https://www.openstreetmap.org/node/9980218803 https://www.openstreetmap.org/node/9985930848"
2527,"West Greece","Αλμυρή Θάλασσα",high,1,78,"https://www.openstreetmap.org/node/7835294400"
1713,"South Aegean","Μπατσί",high,1,79,"https://www.openstreetmap.org/node/10039599229"
1495,"Peloponnese","Παραλία Τολού - Ψιλή Άμμος",high,1,80,"https://www.openstreetmap.org/node/12101915063"
2556,"West Greece","Παραλία Ρίζας",high,3,80,"https://www.openstreetmap.org/node/10281941689 https://www.openstreetmap.org/node/10281950830 https://www.openstreetmap.org/node/9785307197"
803,"East Macedonia and Thrace","Άγιος Ιωάννης Λουκάς",high,1,80,"https://www.openstreetmap.org/node/13074339082"
1589,"Peloponnese","Πλύτρα - Παχιά Άμμος",high,1,82,"https://www.openstreetmap.org/way/693069710"
1572,"Peloponnese","Οίτυλο",high,1,84,"https://www.openstreetmap.org/node/11217818237"
1650,"Peloponnese","Στούπα",high,2,84,"https://www.openstreetmap.org/node/3708234627 https://www.openstreetmap.org/node/3708234825"
2256,"South Aegean","Πλατύς Γιαλός",high,1,84,"https://www.openstreetmap.org/node/10125420328"
1543,"Peloponnese","Αγία Κυριακή",high,1,84,"https://www.openstreetmap.org/way/1478508616"
2522,"West Greece","Kitesurf Spot",high,1,84,"https://www.openstreetmap.org/node/7834258526"
2437,"South Aegean","Παραλία Φούρνοι",high,1,86,"https://www.openstreetmap.org/node/8945923743"
1078,"Ionian Islands","Ξι",high,2,86,"https://www.openstreetmap.org/node/6656648185 https://www.openstreetmap.org/node/11212284432"
1323,"North Aegean","Ακτή Τσαμάκια",high,2,86,"https://www.openstreetmap.org/node/12811281115 https://www.openstreetmap.org/node/12466735058"
2125,"South Aegean","Αγκαθωπές",high,1,87,"https://www.openstreetmap.org/node/9097652526"
979,"Ionian Islands","Παραλία Άγιος Γόρδης",high,2,87,"https://www.openstreetmap.org/node/3025781848 https://www.openstreetmap.org/node/3025781849"
647,"Crete","Ποταμός Μαλίας",high,3,89,"https://www.openstreetmap.org/node/3752787325 https://www.openstreetmap.org/node/11054647996 https://www.openstreetmap.org/node/11107329599"
539,"Crete","Μαράθι",high,3,89,"https://www.openstreetmap.org/node/10065779508 https://www.openstreetmap.org/node/10065779507 https://www.openstreetmap.org/node/10065779506"
577,"Crete","Σούγια",high,3,91,"https://www.openstreetmap.org/node/13066243533 https://www.openstreetmap.org/node/13066243534 https://www.openstreetmap.org/node/10210227907"
2424,"South Aegean","Παραλία Καλαβάρδα",high,3,91,"https://www.openstreetmap.org/node/1400250626 https://www.openstreetmap.org/node/1400250632 https://www.openstreetmap.org/node/1400250630"
238,"Central Greece","Κρεμάλα",high,1,91,"https://www.openstreetmap.org/node/12126153991"
696,"Crete","Παραλία Κεφάλα",high,1,93,"https://www.openstreetmap.org/node/9979391527"
2503,"West Greece","Αμμόλοφος",high,1,93,"https://www.openstreetmap.org/node/12101970833"
959,"Ionian Islands","Αρίλλας",high,2,93,"https://www.openstreetmap.org/node/4416587372 https://www.openstreetmap.org/node/4416202676"
594,"Crete","Chrysi Akti",high,6,95,"https://www.openstreetmap.org/node/11024389751 https://www.openstreetmap.org/node/11024389750 https://www.openstreetmap.org/node/11024389752 https://www.openstreetmap.org/node/7731095778 https://www.openstreetmap.org/node/11024389748 https://www.openstreetmap.org/node/11024389742"
36,"Attica","Πλαζ Ραφήνας",high,1,95,"https://www.openstreetmap.org/node/5150327143"
699,"Crete","Περιστερές",high,1,96,"https://www.openstreetmap.org/node/9987627131"
821,"East Macedonia and Thrace","Ποτός",high,1,96,"https://www.openstreetmap.org/node/8266904709"
544,"Crete","Νέα Χώρα",high,4,98,"https://www.openstreetmap.org/node/10827303599 https://www.openstreetmap.org/node/10064185748 https://www.openstreetmap.org/node/10827303549 https://www.openstreetmap.org/node/10064185749"
2328,"South Aegean","Μαρμάρι",high,1,98,"https://www.openstreetmap.org/node/5329840221"
3105,"Ionian Islands","Σκάλα (Κεφαλονιά)",high,1,98,"https://www.openstreetmap.org/node/6669927806"
205,"Central Greece","Αλυκές",high,3,98,"https://www.openstreetmap.org/node/12294044901 https://www.openstreetmap.org/node/12294048901 https://www.openstreetmap.org/node/12294059601"
2101,"South Aegean","Καμάρες",high,4,99,"https://www.openstreetmap.org/node/9944339122 https://www.openstreetmap.org/node/9944344128 https://www.openstreetmap.org/node/9944330921 https://www.openstreetmap.org/node/9942728821"
1113,"Ionian Islands","Μύρτος",high,1,99,"https://www.openstreetmap.org/node/11041984175"
2540,"West Greece","Παραθάλασσο",high,1,99,"https://www.openstreetmap.org/node/7834298139"
518,"Central Macedonia","Κυανή Ακτή",high,1,99,"https://www.openstreetmap.org/node/10010482643"
1825,"South Aegean","Οτζιάς",high,1,100,"https://www.openstreetmap.org/node/8913844967"
1116,"Ionian Islands","Παραλία Αγία Βαρβάρα",high,2,100,"https://www.openstreetmap.org/node/1407327329 https://www.openstreetmap.org/node/1407327343"
2463,"South Aegean","Παραλία Καρδάμης",high,1,103,"https://www.openstreetmap.org/node/12172302058"
1703,"South Aegean","Νειμποριό",high,1,103,"https://www.openstreetmap.org/node/7815579285"
794,"East Macedonia and Thrace","Ρέμβη",high,1,103,"https://www.openstreetmap.org/node/6690947301"
2438,"South Aegean","Παραλία Χαράκι",high,9,105,"https://www.openstreetmap.org/node/9840487537 https://www.openstreetmap.org/node/9840487543 https://www.openstreetmap.org/node/9840487536 https://www.openstreetmap.org/node/9840487565 https://www.openstreetmap.org/node/9840487561 https://www.openstreetmap.org/node/9840487547 https://www.openstreetmap.org/node/9840487531 https://www.openstreetmap.org/node/9840487539 https://www.openstreetmap.org/node/9840487540"
1698,"South Aegean","Γυάλια",high,1,106,"https://www.openstreetmap.org/node/7817484385"
10,"Attica","Παραλία Γλυφάδας Ακτή Γ",high,3,107,"https://www.openstreetmap.org/node/6759217437 https://www.openstreetmap.org/node/6759208909 https://www.openstreetmap.org/node/6759221613"
